zip_code,facility_id,expand_amount,expand_segment,initial_capacity,final_capacity_est
10001,297,8.0,0%-10%,84.0,92.0
10001,6079,1.0,0%-10%,79.0,80.0
10001,10983,8.0,0%-10%,88.0,96.0
10001,12599,29.0,0%-10%,292.0,321.0
10002,469,26.0,0%-10%,306.0,332.0
10002,542,13.0,0%-10%,141.0,154.0
10002,753,16.0,0%-10%,172.0,188.0
10002,937,22.0,0%-10%,235.0,257.0
10002,1400,8.0,10%-15%,75.0,83.0
10002,1641,18.0,0%-10%,198.0,216.0
10002,2587,10.0,0%-10%,114.0,124.0
10002,3446,10.0,0%-10%,110.0,120.0
10002,3767,20.0,0%-10%,217.0,237.0
10002,3933,17.0,0%-10%,188.0,205.0
10002,5136,6.0,10%-15%,60.0,66.0
10002,6564,10.0,0%-10%,111.0,121.0
10002,6845,9.0,0%-10%,107.0,116.0
10002,7960,29.0,10%-15%,200.0,229.0
10002,8014,27.0,0%-10%,285.0,312.0
10002,8358,15.0,0%-10%,160.0,175.0
10002,9057,10.0,0%-10%,114.0,124.0
10002,9211,5.0,0%-10%,61.0,66.0
10002,9330,21.0,0%-10%,221.0,242.0
10002,10177,23.0,0%-10%,242.0,265.0
10002,10451,25.0,0%-10%,260.0,285.0
10002,10544,3.0,0%-10%,47.0,50.0
10002,11315,7.0,0%-10%,77.0,84.0
10002,11471,20.0,0%-10%,202.0,222.0
10002,11805,15.0,0%-10%,159.0,174.0
10002,12089,14.0,0%-10%,140.0,154.0
10002,15171,11.0,0%-10%,110.0,121.0
10003,1980,20.0,0%-10%,217.0,237.0
10003,7784,48.0,0%-10%,483.0,531.0
10003,9413,45.0,0%-10%,457.0,502.0
10003,12410,47.0,0%-10%,479.0,526.0
10004,3798,2.0,15%-20%,13.0,15.0
10004,10890,37.0,10%-15%,250.0,287.0
10006,14868,22.0,10%-15%,156.0,178.0
10007,9839,4.0,0%-10%,180.0,184.0
10009,683,8.0,0%-10%,81.0,89.0
10009,4542,29.0,0%-10%,329.0,358.0
10009,6986,8.0,0%-10%,300.0,308.0
10009,11868,1.0,0%-10%,16.0,17.0
10011,8354,40.0,0%-10%,400.0,440.0
10011,8519,38.0,0%-10%,380.0,418.0
10011,11892,67.0,0%-10%,672.0,739.0
10011,12835,19.0,0%-10%,261.0,280.0
10013,2930,12.0,0%-10%,161.0,173.0
10013,4351,21.0,0%-10%,218.0,239.0
10014,4888,14.0,0%-10%,140.0,154.0
10014,5638,28.0,0%-10%,281.0,309.0
10014,7712,58.0,0%-10%,585.0,643.0
10014,10793,8.0,10%-15%,57.0,65.0
10014,13439,86.0,10%-15%,574.0,660.0
10014,14576,7.0,0%-10%,74.0,81.0
10019,5280,11.0,0%-10%,127.0,138.0
10019,8050,22.0,0%-10%,229.0,251.0
10023,1151,45.0,10%-15%,300.0,345.0
10023,2098,14.0,10%-15%,96.0,110.0
10023,3314,2.0,10%-15%,16.0,18.0
10023,5318,18.0,15%-20%,92.0,110.0
10023,8541,33.0,10%-15%,226.0,259.0
10023,10516,30.0,10%-15%,201.0,231.0
10023,14111,6.0,10%-15%,40.0,46.0
10023,14547,18.0,10%-15%,120.0,138.0
10024,968,12.0,0%-10%,120.0,132.0
10024,3826,12.0,0%-10%,120.0,132.0
10024,8299,5.0,0%-10%,116.0,121.0
10024,10928,16.0,0%-10%,161.0,177.0
10024,14447,54.0,0%-10%,540.0,594.0
10025,3726,28.0,0%-10%,280.0,308.0
10025,10680,14.0,0%-10%,199.0,213.0
10025,11441,11.0,0%-10%,126.0,137.0
10025,12439,56.0,0%-10%,560.0,616.0
10026,2707,19.0,0%-10%,195.0,214.0
10026,4873,5.0,0%-10%,170.0,175.0
10026,11660,22.0,0%-10%,229.0,251.0
10026,15508,18.0,0%-10%,183.0,201.0
10027,587,13.0,0%-10%,136.0,149.0
10027,2300,15.0,0%-10%,154.0,169.0
10027,2519,24.0,0%-10%,240.0,264.0
10027,3162,44.0,0%-10%,443.0,487.0
10027,4213,13.0,0%-10%,135.0,148.0
10027,5877,17.0,0%-10%,179.0,196.0
10027,7567,14.0,0%-10%,149.0,163.0
10027,7640,12.0,0%-10%,120.0,132.0
10027,7967,14.0,0%-10%,142.0,156.0
10027,8318,29.0,0%-10%,291.0,320.0
10027,11403,13.0,0%-10%,136.0,149.0
10027,12021,2.0,0%-10%,114.0,116.0
10027,14564,14.0,0%-10%,140.0,154.0
10028,14268,10.0,0%-10%,316.0,326.0
10029,160,7.0,0%-10%,77.0,84.0
10029,232,9.0,0%-10%,97.0,106.0
10029,234,7.0,0%-10%,74.0,81.0
10029,363,19.0,0%-10%,199.0,218.0
10029,1016,18.0,0%-10%,185.0,203.0
10029,2429,14.0,0%-10%,145.0,159.0
10029,2520,29.0,0%-10%,290.0,319.0
10029,2829,1.0,0%-10%,72.0,73.0
10029,4485,16.0,0%-10%,160.0,176.0
10029,4916,10.0,0%-10%,100.0,110.0
10029,4987,16.0,0%-10%,163.0,179.0
10029,5028,23.0,0%-10%,230.0,253.0
10029,6937,14.0,0%-10%,140.0,154.0
10029,7049,8.0,0%-10%,89.0,97.0
10029,9589,8.0,0%-10%,80.0,88.0
10029,10326,8.0,0%-10%,80.0,88.0
10029,14107,14.0,0%-10%,160.0,174.0
10029,14507,12.0,0%-10%,127.0,139.0
10029,14522,11.0,0%-10%,115.0,126.0
10030,3705,18.0,0%-10%,180.0,198.0
10030,9227,8.0,0%-10%,140.0,148.0
10030,10896,22.0,0%-10%,225.0,247.0
10031,2564,26.0,0%-10%,297.0,323.0
10031,5524,6.0,0%-10%,80.0,86.0
10031,7457,14.0,0%-10%,145.0,159.0
10031,9562,12.0,0%-10%,120.0,132.0
10031,15310,15.0,0%-10%,150.0,165.0
10032,1564,5.0,0%-10%,54.0,59.0
10032,2081,15.0,10%-15%,100.0,115.0
10032,2208,18.0,10%-15%,120.0,138.0
10032,3739,6.0,0%-10%,65.0,71.0
10032,4244,1.0,0%-10%,38.0,39.0
10032,4755,5.0,0%-10%,58.0,63.0
10032,4810,72.0,10%-15%,480.0,552.0
10032,4840,31.0,10%-15%,209.0,240.0
10032,6950,20.0,10%-15%,138.0,158.0
10032,7316,17.0,10%-15%,116.0,133.0
10032,8476,48.0,0%-10%,486.0,534.0
10032,11372,32.0,10%-15%,218.0,250.0
10032,12140,1.0,0%-10%,16.0,17.0
10032,12174,21.0,10%-15%,140.0,161.0
10033,120,15.0,0%-10%,152.0,167.0
10033,799,15.0,0%-10%,154.0,169.0
10033,4392,36.0,0%-10%,366.0,402.0
10033,5978,19.0,0%-10%,199.0,218.0
10033,7452,11.0,0%-10%,150.0,161.0
10033,9787,18.0,0%-10%,181.0,199.0
10033,10796,24.0,0%-10%,248.0,272.0
10034,3583,38.0,0%-10%,388.0,426.0
10034,5909,67.0,0%-10%,677.0,744.0
10034,7072,7.0,0%-10%,131.0,138.0
10034,7319,14.0,0%-10%,140.0,154.0
10034,10763,18.0,0%-10%,180.0,198.0
10035,1238,10.0,0%-10%,108.0,118.0
10035,4609,12.0,0%-10%,120.0,132.0
10035,4623,6.0,0%-10%,65.0,71.0
10035,5207,6.0,0%-10%,61.0,67.0
10035,5341,10.0,10%-15%,80.0,90.0
10035,6662,12.0,0%-10%,126.0,138.0
10035,9961,25.0,0%-10%,252.0,277.0
10035,10837,24.0,0%-10%,245.0,269.0
10035,11754,22.0,0%-10%,227.0,249.0
10035,11881,20.0,0%-10%,200.0,220.0
10035,13520,28.0,10%-15%,191.0,219.0
10035,14041,13.0,0%-10%,137.0,150.0
