zip_code,location_id,facility_type,capacity_0_12,capacity_0_5,build_cost,equipment_cost
10001,1,large,400,200,115000.0,20000.0
10001,71,small,100,50,65000.0,5000.0
10001,73,large,400,200,115000.0,20000.0
10002,15,large,400,200,115000.0,20000.0
10002,35,large,400,200,115000.0,20000.0
10002,64,large,400,200,115000.0,20000.0
10002,75,large,400,200,115000.0,20000.0
10002,77,large,400,200,115000.0,20000.0
10003,2,large,400,200,115000.0,20000.0
10003,24,large,400,200,115000.0,20000.0
10003,44,large,400,200,115000.0,20000.0
10003,47,large,400,200,115000.0,20000.0
10004,49,small,100,50,65000.0,5000.0
10004,84,large,400,200,115000.0,20000.0
10005,22,large,400,200,115000.0,20000.0
10005,47,large,400,200,115000.0,20000.0
10006,76,small,100,50,65000.0,5000.0
10007,0,large,400,200,115000.0,20000.0
10007,2,large,400,200,115000.0,20000.0
10009,9,large,400,200,115000.0,20000.0
10009,16,large,400,200,115000.0,20000.0
10009,68,large,400,200,115000.0,20000.0
10009,70,large,400,200,115000.0,20000.0
10009,71,large,400,200,115000.0,20000.0
10009,99,large,400,200,115000.0,20000.0
10010,0,large,400,200,115000.0,20000.0
10010,22,large,400,200,115000.0,20000.0
10010,23,large,400,200,115000.0,20000.0
10010,45,large,400,200,115000.0,20000.0
10010,46,large,400,200,115000.0,20000.0
10011,2,large,400,200,115000.0,20000.0
10011,71,large,400,200,115000.0,20000.0
10011,77,large,400,200,115000.0,20000.0
10012,0,large,400,200,115000.0,20000.0
10012,3,small,100,50,65000.0,5000.0
10012,20,large,400,200,115000.0,20000.0
10013,1,large,400,200,115000.0,20000.0
10013,52,large,400,200,115000.0,20000.0
10013,73,large,400,200,115000.0,20000.0
10013,74,large,400,200,115000.0,20000.0
10014,47,large,400,200,115000.0,20000.0
10016,0,large,400,200,115000.0,20000.0
10016,1,large,400,200,115000.0,20000.0
10016,51,large,400,200,115000.0,20000.0
10016,73,large,400,200,115000.0,20000.0
10016,74,large,400,200,115000.0,20000.0
10016,75,large,400,200,115000.0,20000.0
10017,68,large,400,200,115000.0,20000.0
10019,2,medium,200,100,95000.0,10000.0
10019,22,large,400,200,115000.0,20000.0
10019,46,large,400,200,115000.0,20000.0
10019,51,large,400,200,115000.0,20000.0
10021,2,large,400,200,115000.0,20000.0
10021,17,large,400,200,115000.0,20000.0
10021,51,large,400,200,115000.0,20000.0
10021,53,large,400,200,115000.0,20000.0
10021,67,large,400,200,115000.0,20000.0
10021,89,large,400,200,115000.0,20000.0
10022,0,large,400,200,115000.0,20000.0
10022,1,large,400,200,115000.0,20000.0
10022,17,small,100,50,65000.0,5000.0
10022,23,large,400,200,115000.0,20000.0
10022,45,large,400,200,115000.0,20000.0
10023,2,large,400,200,115000.0,20000.0
10023,3,large,400,200,115000.0,20000.0
10023,4,large,400,200,115000.0,20000.0
10023,11,large,400,200,115000.0,20000.0
10023,12,large,400,200,115000.0,20000.0
10023,13,large,400,200,115000.0,20000.0
10023,14,large,400,200,115000.0,20000.0
10023,50,large,400,200,115000.0,20000.0
10023,54,large,400,200,115000.0,20000.0
10023,55,large,400,200,115000.0,20000.0
10023,56,large,400,200,115000.0,20000.0
10024,2,large,400,200,115000.0,20000.0
10024,6,large,400,200,115000.0,20000.0
10024,8,large,400,200,115000.0,20000.0
10024,15,large,400,200,115000.0,20000.0
10024,20,large,400,200,115000.0,20000.0
10024,28,large,400,200,115000.0,20000.0
10024,31,medium,200,100,95000.0,10000.0
10024,43,large,400,200,115000.0,20000.0
10024,56,large,400,200,115000.0,20000.0
10024,67,large,400,200,115000.0,20000.0
10024,69,large,400,200,115000.0,20000.0
10024,71,large,400,200,115000.0,20000.0
10024,84,large,400,200,115000.0,20000.0
10024,88,large,400,200,115000.0,20000.0
10025,0,large,400,200,115000.0,20000.0
10025,7,large,400,200,115000.0,20000.0
10025,9,large,400,200,115000.0,20000.0
10025,23,large,400,200,115000.0,20000.0
10025,31,large,400,200,115000.0,20000.0
10025,52,large,400,200,115000.0,20000.0
10025,53,large,400,200,115000.0,20000.0
10025,64,large,400,200,115000.0,20000.0
10025,75,large,400,200,115000.0,20000.0
10025,76,large,400,200,115000.0,20000.0
10025,77,large,400,200,115000.0,20000.0
10025,90,large,400,200,115000.0,20000.0
10025,91,large,400,200,115000.0,20000.0
10025,92,large,400,200,115000.0,20000.0
10026,5,large,400,200,115000.0,20000.0
10026,27,large,400,200,115000.0,20000.0
10026,44,large,400,200,115000.0,20000.0
10026,48,large,400,200,115000.0,20000.0
10026,77,large,400,200,115000.0,20000.0
10026,81,large,400,200,115000.0,20000.0
10026,89,large,400,200,115000.0,20000.0
