zip_code,location_id,facility_type,capacity_0_12,capacity_0_5
10001,1,large,400,200
10001,71,small,100,50
10001,73,large,400,200
10002,35,large,400,200
10002,51,large,400,200
10002,54,large,400,200
10002,56,large,400,200
10002,86,large,400,200
10003,2,large,400,200
10003,24,large,400,200
10003,44,large,400,200
10003,47,large,400,200
10004,49,small,100,50
10004,84,large,400,200
10005,22,large,400,200
10005,47,large,400,200
10006,76,small,100,50
10007,0,large,400,200
10007,2,large,400,200
10009,0,large,400,200
10009,2,large,400,200
10009,9,large,400,200
10009,16,large,400,200
10009,68,large,400,200
10009,99,large,400,200
10010,0,large,400,200
10010,22,large,400,200
10010,23,large,400,200
10010,45,large,400,200
10010,46,large,400,200
10011,2,large,400,200
10011,71,large,400,200
10011,77,large,400,200
10012,0,large,400,200
10012,3,small,100,50
10012,20,large,400,200
10013,1,large,400,200
10013,52,large,400,200
10013,73,large,400,200
10013,74,large,400,200
10014,47,large,400,200
10016,0,large,400,200
10016,1,large,400,200
10016,51,large,400,200
10016,73,large,400,200
10016,74,large,400,200
10016,75,large,400,200
10017,68,large,400,200
10019,2,medium,200,100
10019,22,large,400,200
10019,46,large,400,200
10019,51,large,400,200
10021,2,large,400,200
10021,17,large,400,200
10021,51,large,400,200
10021,53,large,400,200
10021,67,large,400,200
10021,89,large,400,200
10022,0,large,400,200
10022,1,large,400,200
10022,17,small,100,50
10022,23,large,400,200
10022,45,large,400,200
10023,2,large,400,200
10023,3,large,400,200
10023,4,large,400,200
10023,11,large,400,200
10023,12,large,400,200
10023,13,large,400,200
10023,14,large,400,200
10023,50,large,400,200
10023,54,large,400,200
10023,55,large,400,200
10023,56,large,400,200
10024,2,large,400,200
10024,6,large,400,200
10024,8,large,400,200
10024,15,large,400,200
10024,20,large,400,200
10024,28,large,400,200
10024,31,medium,200,100
10024,43,large,400,200
10024,61,large,400,200
10024,67,large,400,200
10024,68,large,400,200
10024,69,large,400,200
10024,71,large,400,200
10024,72,large,400,200
10025,0,large,400,200
10025,7,large,400,200
10025,9,large,400,200
10025,23,large,400,200
10025,31,large,400,200
10025,52,large,400,200
10025,53,large,400,200
10025,64,large,400,200
10025,75,large,400,200
10025,76,large,400,200
10025,77,large,400,200
10025,90,large,400,200
10025,91,large,400,200
10025,92,large,400,200
10026,5,large,400,200
10026,27,large,400,200
10026,44,large,400,200
10026,48,large,400,200
10026,73,large,400,200
10026,89,large,400,200
10026,96,large,400,200
10027,36,large,400,200
10027,38,large,400,200
10027,44,large,400,200
10027,66,large,400,200
10027,72,large,400,200
10027,74,large,400,200
10027,78,large,400,200
10027,79,large,400,200
10027,83,large,400,200
10027,89,large,400,200
10027,97,large,400,200
10028,0,large,400,200
10028,1,large,400,200
10028,50,large,400,200
10028,56,medium,200,100
10028,72,large,400,200
10028,74,large,400,200
10029,3,large,400,200
10029,4,large,400,200
10029,5,large,400,200
10029,11,large,400,200
10029,24,large,400,200
10029,35,large,400,200
10029,46,large,400,200
10029,71,large,400,200
10029,72,large,400,200
10029,76,large,400,200
10029,77,large,400,200
10029,79,large,400,200
10030,25,large,400,200
10030,43,large,400,200
10030,44,large,400,200
10030,76,large,400,200
10030,81,large,400,200
10030,87,large,400,200
10031,58,large,400,200
10031,62,large,400,200
10031,66,large,400,200
10031,84,large,400,200
10031,86,medium,200,100
10031,92,large,400,200
10031,93,large,400,200
10031,97,large,400,200
10032,0,large,400,200
10032,18,large,400,200
10032,43,large,400,200
10032,69,large,400,200
10032,70,large,400,200
10032,93,large,400,200
10033,0,large,400,200
10033,1,large,400,200
10033,9,large,400,200
10033,11,large,400,200
