zip,total_expand,small,medium,large,total_new_capacity,current_capacity_012,current_capacity_05,required_012,required_05
10001,46.0,1,0,2,900,609.0,0.0,697.7333333333332,496.0
10002,410.0,0,0,5,2000,4729.0,18.0,3553.4,1428.0
10003,160.0,0,0,4,1600,1995.0,0.0,1015.2666666666668,960.0
10004,39.0,1,0,1,500,263.0,0.0,237.2,288.66666666666663
10005,0.0,0,0,2,800,39.0,0.0,412.7,322.66666666666663
10006,22.0,1,0,0,100,156.0,14.0,134.5,85.33333333333333
10007,4.0,0,0,2,800,284.0,0.0,410.0,403.3333333333333
10009,46.0,0,0,6,2400,1784.0,18.0,1551.6666666666663,1264.0
10010,0.0,0,0,5,2000,234.0,0.0,1194.2666666666669,948.0
10011,164.0,0,0,3,1200,1956.0,42.0,1075.8,806.0
10012,0.0,1,0,2,900,24.0,0.0,339.4,408.6666666666666
10013,33.0,0,0,4,1600,435.0,0.0,1060.8666666666666,832.6666666666666
10014,201.0,0,0,1,400,1711.0,71.0,785.5,472.0
10016,0.0,0,0,6,2400,823.0,0.0,1301.6666666666663,1198.6666666666663
10017,0.0,0,0,1,400,107.0,0.0,254.6,128.66666666666666
10019,33.0,0,1,3,1400,591.0,0.0,1046.1,732.6666666666666
10020,0.0,0,0,0,0,44.0,0.0,0.0,0.0
10021,0.0,0,0,6,2400,460.0,0.0,1445.7999999999995,1191.3333333333333
10022,0.0,1,0,4,1700,16.0,0.0,934.2,818.6666666666666
10023,166.0,0,0,11,4400,1099.0,0.0,2433.5333333333333,2365.333333333333
10024,99.0,0,1,13,5400,1243.0,15.0,2951.333333333333,2814.0
10025,109.0,0,0,14,5600,2553.0,91.0,3391.2666666666664,2999.333333333333
10026,64.0,0,0,7,2800,1706.0,18.0,1827.0666666666664,1481.3333333333333
10027,224.0,0,0,11,4400,3758.0,0.0,2951.5999999999995,2424.0
10028,10.0,0,1,5,2200,348.0,36.0,1632.7999999999995,1146.0
10029,244.0,0,0,12,4800,3358.0,0.0,4836.9,2643.333333333333
10030,48.0,0,0,6,2400,1272.0,0.0,2117.6,1248.0
10031,73.0,0,1,7,3000,1577.0,0.0,3292.7,1572.6666666666663
10032,292.0,0,0,6,2400,3222.0,0.0,2954.1,1492.0
