zip_code,facility_id,initial_capacity_0_12,expand_slots,expand_segment
10001,297,84.0,8.0,0%-10%
10001,4025,16.0,-0.0,0%-10%
10001,4900,17.0,0.0,0%-10%
10001,5949,8.0,0.0,0%-10%
10001,6079,79.0,1.0,0%-10%
10001,10983,88.0,8.0,0%-10%
10001,11708,8.0,-0.0,0%-10%
10001,12595,17.0,-0.0,0%-10%
10001,12599,292.0,29.0,0%-10%
10002,134,41.0,4.0,0%-10%
10002,469,306.0,28.0,0%-10%
10002,542,141.0,13.0,0%-10%
10002,603,36.0,3.0,0%-10%
10002,627,14.0,0.0,0%-10%
10002,633,8.0,0.0,0%-10%
10002,753,172.0,17.0,0%-10%
10002,937,235.0,23.0,0%-10%
10002,1069,6.0,0.0,0%-10%
10002,1400,75.0,7.0,0%-10%
10002,1447,8.0,0.0,0%-10%
10002,1641,198.0,19.0,0%-10%
10002,1940,7.0,0.0,0%-10%
10002,2277,16.0,1.0,0%-10%
10002,2587,114.0,11.0,0%-10%
10002,2697,8.0,0.0,0%-10%
10002,2752,8.0,0.0,0%-10%
10002,2918,8.0,0.0,0%-10%
10002,3446,110.0,10.0,0%-10%
10002,3560,16.0,1.0,0%-10%
10002,3609,8.0,0.0,0%-10%
10002,3767,217.0,21.0,0%-10%
10002,3933,188.0,17.0,0%-10%
10002,4290,40.0,4.0,0%-10%
10002,4511,8.0,0.0,0%-10%
10002,5136,60.0,6.0,0%-10%
10002,5165,41.0,4.0,0%-10%
10002,5304,12.0,0.0,0%-10%
10002,5477,8.0,0.0,0%-10%
10002,5896,8.0,0.0,0%-10%
10002,6564,111.0,10.0,0%-10%
10002,6845,107.0,10.0,0%-10%
10002,7529,8.0,-0.0,0%-10%
10002,7960,200.0,20.0,0%-10%
10002,8014,285.0,26.0,0%-10%
10002,8358,160.0,16.0,0%-10%
10002,8651,16.0,1.0,0%-10%
10002,8716,5.0,0.0,0%-10%
10002,8887,16.0,1.0,0%-10%
10002,9057,114.0,11.0,0%-10%
10002,9211,61.0,6.0,0%-10%
10002,9325,8.0,0.0,0%-10%
10002,9330,221.0,22.0,0%-10%
10002,9426,14.0,0.0,0%-10%
10002,10177,242.0,22.0,0%-10%
10002,10451,260.0,24.0,0%-10%
10002,10544,47.0,4.0,0%-10%
10002,10685,8.0,0.0,0%-10%
10002,11312,8.0,0.0,0%-10%
10002,11315,77.0,7.0,0%-10%
10002,11471,202.0,20.0,0%-10%
10002,11718,16.0,1.0,0%-10%
10002,11805,159.0,14.0,0%-10%
10002,12089,140.0,13.0,0%-10%
10002,13109,10.0,1.0,0%-10%
10002,14870,7.0,0.0,0%-10%
10002,15171,110.0,10.0,0%-10%
10003,1980,217.0,20.0,0%-10%
10003,6247,191.0,-0.0,0%-10%
10003,7364,57.0,-0.0,0%-10%
10003,7784,483.0,48.0,0%-10%
10003,9413,457.0,45.0,0%-10%
10003,10737,111.0,-0.0,0%-10%
10003,12410,479.0,47.0,0%-10%
10004,3798,13.0,2.0,15%-20%
10004,10890,250.0,37.0,10%-15%
10005,5143,39.0,0.0,0%-10%
10006,14868,156.0,-0.0,0%-10%
10007,3060,17.0,-0.0,0%-10%
10007,4537,87.0,-0.0,0%-10%
10007,9839,180.0,4.0,0%-10%
10009,136,16.0,-0.0,0%-10%
10009,683,81.0,-0.0,0%-10%
10009,934,16.0,-0.0,0%-10%
10009,1404,12.0,0.0,0%-10%
10009,1581,231.0,19.0,0%-10%
10009,1912,53.0,3.0,0%-10%
10009,2181,38.0,1.0,0%-10%
10009,2426,6.0,0.0,0%-10%
10009,3854,80.0,-0.0,0%-10%
10009,4542,329.0,28.0,0%-10%
10009,4607,157.0,12.0,0%-10%
10009,4955,134.0,10.0,0%-10%
10009,5011,8.0,0.0,0%-10%
10009,6986,300.0,26.0,0%-10%
10009,7463,8.0,0.0,0%-10%
10009,7981,16.0,-0.0,0%-10%
10009,9150,6.0,0.0,0%-10%
10009,10560,16.0,-0.0,0%-10%
10009,10633,85.0,-0.0,0%-10%
10009,10855,8.0,0.0,0%-10%
10009,11868,16.0,-0.0,0%-10%
10009,11886,160.0,13.0,0%-10%
10009,11951,8.0,0.0,0%-10%
10010,5855,60.0,0.0,0%-10%
10010,10534,34.0,0.0,0%-10%
10010,11325,140.0,0.0,0%-10%
10011,1372,176.0,17.0,0%-10%
10011,4766,61.0,5.0,0%-10%
10011,8354,400.0,40.0,0%-10%
10011,8519,380.0,38.0,0%-10%
10011,11892,672.0,67.0,0%-10%
10011,12835,261.0,39.0,10%-15%
10011,15344,6.0,0.0,0%-10%
10012,11589,8.0,0.0,0%-10%
10012,11872,16.0,0.0,0%-10%
10013,1998,30.0,0.0,0%-10%
10013,2930,161.0,12.0,0%-10%
10013,3296,10.0,0.0,0%-10%
