zip_code,location_id,facility_type,capacity_0_12,capacity_0_5
10001,1,large,400,200
10001,71,small,100,50
10001,73,large,400,200
10002,13,large,400,200
10002,14,large,400,200
10002,15,large,400,200
10002,16,large,400,200
10002,18,large,400,200
10003,2,large,400,200
10003,24,large,400,200
10003,44,large,400,200
10003,47,large,400,200
10004,49,small,100,50
10004,84,large,400,200
10005,22,large,400,200
10005,47,large,400,200
10006,1,medium,200,100
10007,0,large,400,200
10007,2,large,400,200
10009,27,large,400,200
10009,72,large,400,200
10009,74,large,400,200
10009,75,large,400,200
10009,83,large,400,200
10009,87,large,400,200
10010,0,large,400,200
10010,22,large,400,200
10010,23,large,400,200
10010,45,large,400,200
10010,46,large,400,200
10011,10,large,400,200
10011,22,large,400,200
10011,51,large,400,200
10012,0,large,400,200
10012,3,small,100,50
10012,20,large,400,200
10013,1,large,400,200
10013,52,large,400,200
10013,73,large,400,200
10013,74,large,400,200
10014,0,large,400,200
10014,47,large,400,200
10016,0,large,400,200
10016,1,large,400,200
10016,51,large,400,200
10016,73,large,400,200
10016,74,large,400,200
10016,75,large,400,200
10017,71,large,400,200
10019,2,medium,200,100
10019,22,large,400,200
10019,46,large,400,200
10019,51,large,400,200
10021,2,large,400,200
10021,17,large,400,200
10021,51,large,400,200
10021,53,large,400,200
10021,67,large,400,200
10021,89,large,400,200
10022,0,large,400,200
10022,1,large,400,200
10022,17,small,100,50
10022,23,large,400,200
10022,45,large,400,200
10023,2,large,400,200
10023,3,large,400,200
10023,4,large,400,200
10023,11,large,400,200
10023,12,large,400,200
10023,13,large,400,200
10023,14,large,400,200
10023,50,large,400,200
10023,54,large,400,200
10023,55,large,400,200
10023,56,large,400,200
10024,0,large,400,200
10024,1,large,400,200
10024,2,large,400,200
10024,4,large,400,200
10024,5,large,400,200
10024,7,large,400,200
10024,8,large,400,200
10024,9,large,400,200
10024,11,large,400,200
10024,12,large,400,200
10024,13,large,400,200
10024,36,large,400,200
10024,38,large,400,200
10024,41,large,400,200
10025,1,large,400,200
10025,7,large,400,200
10025,11,large,400,200
10025,22,large,400,200
10025,30,large,400,200
10025,38,large,400,200
10025,51,large,400,200
10025,58,large,400,200
10025,67,large,400,200
10025,75,large,400,200
10025,76,large,400,200
10025,82,large,400,200
10025,96,large,400,200
10025,99,large,400,200
10026,0,large,400,200
10026,2,large,400,200
10026,29,large,400,200
10026,46,large,400,200
10026,48,large,400,200
10026,78,large,400,200
10026,92,large,400,200
10027,28,large,400,200
10027,29,large,400,200
10027,30,large,400,200
10027,33,large,400,200
10027,35,large,400,200
10027,36,large,400,200
10027,38,large,400,200
10027,59,large,400,200
10027,63,large,400,200
10027,69,large,400,200
10027,74,large,400,200
10028,11,large,400,200
10028,25,large,400,200
10028,44,large,400,200
10028,70,large,400,200
10028,75,large,400,200
10028,98,large,400,200
10029,30,large,400,200
10029,32,large,400,200
10029,81,large,400,200
10029,84,large,400,200
10029,85,large,400,200
10029,87,large,400,200
10029,88,large,400,200
10029,90,large,400,200
10029,94,large,400,200
10029,95,large,400,200
10029,96,large,400,200
10029,97,large,400,200
10030,0,large,400,200
10030,1,large,400,200
10030,2,large,400,200
10030,42,large,400,200
10030,43,large,400,200
10030,81,large,400,200
10031,52,large,400,200
10031,64,large,400,200
10031,70,medium,200,100
10031,84,large,400,200
10031,86,large,400,200
10031,91,large,400,200
10031,93,large,400,200
10031,97,large,400,200
10032,2,large,400,200
10032,7,large,400,200
10032,9,large,400,200
10032,14,large,400,200
10032,56,large,400,200
10032,63,small,100,50
10032,96,large,400,200
10033,0,large,400,200
10033,61,large,400,200
