zip,expand,expand_segment,small,medium,large,total_new_capacity,current_capacity_012,current_capacity_05,required_012,required_05
10001,0.0,0%-10%,0,1,2,1000,10.0,0.0,697.7333333333332,496.0
10002,0.0,0%-10%,0,0,9,3600,102.58333333333334,0.0,3553.4,1428.0
10003,0.0,N/A,0,0,5,2000,0.0,0.0,1015.2666666666668,960.0
10004,0.0,N/A,0,1,1,600,0.0,0.0,237.2,288.66666666666663
10005,0.0,N/A,0,0,2,800,0.0,0.0,412.7,322.66666666666663
10006,0.0,0%-10%,0,1,0,200,14.0,0.0,134.5,85.33333333333333
10007,0.0,N/A,1,0,2,900,0.0,0.0,410.0,403.3333333333333
10009,0.0,0%-10%,0,1,6,2600,62.16666666666667,0.0,1551.6666666666663,1264.0
10010,0.0,N/A,0,0,5,2000,0.0,0.0,1194.2666666666669,948.0
10011,6.0,10%-15%,0,0,4,1600,44.5,0.0,1075.8,806.0
10012,0.0,0%-10%,1,0,2,900,7.5,0.0,339.4,408.6666666666666
10013,0.0,0%-10%,1,0,4,1700,5.0,0.0,1060.8666666666666,832.6666666666666
10014,0.0,0%-10%,0,1,2,1000,71.0,0.0,785.5,472.0
10016,0.0,0%-10%,0,0,6,2400,5.0,0.0,1301.6666666666663,1198.6666666666663
10017,0.0,N/A,0,0,1,400,0.0,0.0,254.6,128.66666666666666
10019,0.0,0%-10%,0,0,4,1600,20.0,0.0,1046.1,732.6666666666666
10020,0.0,N/A,0,0,0,0,0.0,0.0,0.0,0.0
10021,0.0,N/A,0,0,6,2400,0.0,0.0,1445.7999999999995,1191.3333333333333
10022,0.0,0%-10%,1,0,4,1700,5.0,0.0,934.2,818.6666666666666
10023,0.0,0%-10%,0,0,12,4800,7.5,0.0,2433.5333333333333,2365.333333333333
10024,0.0,0%-10%,1,0,14,5700,52.5,0.0,2951.333333333333,2814.0
10025,0.0,0%-10%,0,0,15,6000,167.66666666666669,0.0,3391.2666666666664,2999.333333333333
10026,0.0,0%-10%,0,1,7,3000,163.0,0.0,1827.0666666666664,1481.3333333333333
10027,24.0,15%-20%,0,0,12,4800,145.83333333333334,0.0,2951.5999999999995,2424.0
10028,0.0,0%-10%,0,0,6,2400,46.0,0.0,1632.7999999999995,1146.0
10029,0.0,0%-10%,1,0,13,5300,149.16666666666666,0.0,4836.9,2643.333333333333
10030,0.0,0%-10%,1,0,6,2500,71.25,0.0,2117.6,1248.0
10031,0.0,0%-10%,0,0,8,3200,228.33333333333331,0.0,3292.7,1572.6666666666663
10032,42.0,10%-15%,1,0,7,2900,320.0,0.0,2954.1,1492.0
10033,37.333333333333336,10%-15%,0,1,10,4200,366.6666666666667,0.0,3622.3,2137.333333333333
10034,43.333333333333336,10%-15%,0,1,8,3400,329.5833333333333,0.0,2902.4,1743.3333333333333
10035,0.0,0%-10%,0,0,8,3200,47.5,0.0,2861.3,1588.0
10036,0.0,N/A,1,0,2,900,0.0,0.0,529.8666666666666,422.6666666666666
10037,13.333333333333334,15%-20%,0,1,3,1400,80.16666666666667,0.0,1283.0,713.3333333333333
10038,0.0,0%-10%,0,0,3,1200,24.583333333333336,0.0,709.1999999999999,514.6666666666666
10039,15.333333333333334,10%-15%,1,0,6,2500,110.83333333333334,0.0,2316.0,1265.3333333333333
10040,13.333333333333334,0%-10%,0,1,6,2600,366.25,0.0,2825.0,1313.3333333333333
10044,0.0,0%-10%,1,0,3,1300,5.0,0.0,585.5999999999999,626.0
10065,0.0,0%-10%,0,1,7,3000,40.0,0.0,1366.7333333333331,1486.6666666666663
10069,0.0,0%-10%,0,1,2,1000,5.0,0.0,428.6,460.0
10075,0.0,N/A,1,0,4,1700,0.0,0.0,840.1999999999999,828.6666666666666
10128,0.0,N/A,0,1,9,3800,0.0,0.0,1886.4,1860.6666666666663
10280,0.0,N/A,1,0,1,500,0.0,0.0,210.06666666666663,212.0
10282,0.0,N/A,0,1,1,600,0.0,0.0,446.0,278.66666666666663
10301,3.3333333333333335,0%-10%,1,0,9,3700,121.66666666666669,0.0,2044.5333333333333,1853.3333333333333
10302,0.0,0%-10%,0,1,4,1800,79.16666666666667,0.0,1662.0,892.0
10303,0.0,0%-10%,0,0,5,2000,202.5,0.0,2152.3,841.3333333333333
10304,0.0,0%-10%,0,1,7,3000,189.33333333333331,0.0,2310.133333333333,1489.3333333333333
10305,2.0,0%-10%,0,1,5,2200,62.5,0.0,1753.9333333333334,1102.0
10306,0.0,0%-10%,0,0,9,3600,45.0,0.0,2642.5999999999995,1737.3333333333333
10307,0.0,N/A,0,0,4,1600,0.0,0.0,735.3999999999999,732.0
10308,0.0,0%-10%,0,0,4,1600,17.5,0.0,1296.1999999999998,737.3333333333333
10309,0.0,0%-10%,0,1,6,2600,3.75,0.0,1791.8666666666668,1290.6666666666663
10310,0.0,0%-10%,1,0,7,2900,90.83333333333331,0.0,1586.4666666666665,1444.6666666666663
10311,0.0,N/A,0,0,0,0,0.0,0.0,0.0,0.0
10312,0.0,0%-10%,1,0,12,4900,57.583333333333336,0.0,3362.333333333333,2445.333333333333
10314,12.666666666666666,15%-20%,0,1,17,7000,65.0,0.0,4821.466666666666,3512.6666666666665
10451,29.333333333333332,0%-10%,0,1,11,4600,427.0833333333333,0.0,4619.3,2329.333333333333
10452,40.666666666666664,0%-10%,0,0,18,7200,1211.25,0.0,7720.7,3640.6666666666665
10453,50.666666666666664,0%-10%,0,0,18,7200,1182.5,0.0,7827.9,3650.6666666666665
10454,13.333333333333334,0%-10%,0,1,9,3800,247.91666666666663,0.0,3968.3,1913.3333333333333
10455,29.0,0%-10%,0,1,9,3800,417.5,0.0,4246.5,1671.3333333333333
10456,78.66666666666667,0%-10%,0,0,22,8800,977.0833333333334,0.0,8511.0,4478.666666666666
10457,123.33333333333333,10%-15%,0,0,22,8800,1060.0,0.0,8633.2,4523.333333333333
10458,123.33333333333333,10%-15%,0,0,18,7200,997.9166666666666,0.0,7807.9,3723.333333333333
10459,48.666666666666664,0%-10%,0,0,13,5200,541.6666666666666,0.0,4930.8,2648.6666666666665
10460,55.333333333333336,0%-10%,0,0,13,5200,685.4166666666666,0.0,5406.8,2655.333333333333
10461,0.0,0%-10%,0,1,9,3800,172.5,0.0,3960.0,1833.3333333333333
10462,70.66666666666667,10%-15%,1,0,18,7300,486.6666666666667,0.0,6681.7,3720.6666666666665
10463,0.0,0%-10%,0,0,15,6000,495.4166666666667,0.0,3563.133333333333,2968.6666666666665
10464,0.0,0%-10%,0,1,0,200,5.0,0.0,172.86666666666667,50.0
10465,0.0,0%-10%,0,0,11,4400,270.0,0.0,2402.133333333333,2178.6666666666665
10466,78.66666666666667,10%-15%,1,0,14,5700,561.6666666666666,0.0,5980.6,2928.6666666666665
10467,27.333333333333332,0%-10%,0,0,21,8400,935.4166666666666,0.0,8542.2,4227.333333333333
10468,47.333333333333336,0%-10%,0,0,22,8800,1037.0833333333333,0.0,7825.9,4447.333333333333
10469,0.0,0%-10%,0,0,15,6000,412.5,0.0,5490.3,2988.6666666666665
10470,0.0,0%-10%,0,1,4,1800,85.0,0.0,1077.1,874.0
10471,0.0,0%-10%,0,1,3,1400,45.0,0.0,836.0666666666666,676.6666666666666
10472,47.333333333333336,0%-10%,0,1,17,7000,580.4166666666666,0.0,6195.2,3547.333333333333
10473,44.666666666666664,10%-15%,1,0,12,4900,358.3333333333333,0.0,4850.7,2494.6666666666665
10474,0.0,0%-10%,0,1,3,1400,85.0,0.0,1300.7,667.3333333333333
10475,0.0,0%-10%,0,1,10,4200,67.5,0.0,3228.1,2076.6666666666665
10502,0.0,0%-10%,1,0,1,500,10.0,0.0,335.5333333333333,214.66666666666663
10504,59.333333333333336,10%-15%,0,1,0,200,547.0,188.0,490.8,347.3333333333333
10506,0.0,0%-10%,1,0,1,500,12.5,0.0,382.4666666666667,210.66666666666663
10507,3.3333333333333335,0%-10%,0,0,1,400,151.0,80.0,354.0,283.3333333333333
10509,99.33333333333333,10%-15%,0,0,2,800,800.5,236.0,980.4,735.3333333333333
10510,32.0,0%-10%,1,0,0,100,378.0,168.0,476.73333333333335,250.0
10511,0.0,0%-10%,0,1,0,200,10.0,0.0,100.73333333333332,79.33333333333333
10512,14.333333333333334,0%-10%,0,1,3,1400,158.5,37.0,967.4,751.3333333333333
10514,0.0,0%-10%,0,0,2,800,424.0,99.0,807.3999999999999,488.0
10516,22.666666666666668,10%-15%,0,1,0,200,152.0,66.0,238.9333333333333,188.66666666666663
10517,0.0,N/A,1,0,0,100,0.0,0.0,5.066666666666666,7.333333333333333
10520,44.0,0%-10%,0,0,1,400,546.5,168.0,622.4666666666667,412.0
10522,49.666666666666664,10%-15%,0,0,1,400,449.0,145.0,573.5999999999999,394.6666666666666
10523,65.0,10%-15%,0,0,1,400,454.5,191.0,526.8,456.0
10524,0.0,0%-10%,0,1,0,200,5.0,0.0,168.86666666666667,87.33333333333333
10527,10.0,15%-20%,0,0,0,0,64.0,0.0,35.7,10.0
10528,8.0,0%-10%,0,0,2,800,500.5,116.0,792.9333333333334,524.0
10530,7.0,0%-10%,0,1,2,1000,182.0,71.0,582.0666666666666,578.0
10532,23.666666666666668,10%-15%,0,1,0,200,176.0,69.0,236.26666666666665,192.66666666666663
10533,0.0,0%-10%,0,0,2,800,88.0,0.0,575.4666666666667,358.66666666666663
10535,0.0,N/A,1,0,0,100,0.0,0.0,5.3,4.666666666666666
10536,11.333333333333334,0%-10%,1,0,1,500,241.0,82.0,635.5333333333333,343.3333333333333
10538,30.666666666666668,0%-10%,0,1,3,1400,372.0,78.0,1271.1999999999998,808.6666666666666
10540,0.0,0%-10%,0,0,0,0,140.0,0.0,5.199999999999999,0.0
10541,92.0,10%-15%,1,0,3,1300,625.0833333333334,124.0,1272.1333333333332,866.0
10543,22.333333333333332,0%-10%,0,0,3,1200,430.0,139.0,1236.2666666666669,761.3333333333333
10547,63.666666666666664,10%-15%,0,0,0,0,497.0,183.0,335.19999999999993,246.66666666666663
10548,0.0,0%-10%,0,0,1,400,61.0,28.0,199.9333333333333,202.0
10549,66.0,10%-15%,1,0,3,1300,584.0,214.0,882.1999999999999,930.0
10550,36.0,0%-10%,0,1,6,2600,483.1666666666667,82.0,3096.7,1418.0
10552,17.666666666666668,0%-10%,1,0,3,1300,247.0,21.0,839.6,688.6666666666666
10553,0.0,0%-10%,0,1,1,600,42.5,0.0,606.6,292.0
10560,0.0,N/A,0,1,1,600,0.0,0.0,288.1333333333333,255.3333333333333
10562,0.0,0%-10%,0,0,5,2000,613.0,175.0,1364.8666666666666,1171.3333333333333
10566,0.0,0%-10%,0,0,3,1200,439.5833333333333,116.0,961.9333333333334,693.3333333333333
10567,16.666666666666668,0%-10%,1,0,3,1300,183.0,90.0,999.8666666666666,756.6666666666666
10570,0.0,0%-10%,0,0,2,800,139.0,72.0,637.1333333333333,439.3333333333333
10573,44.666666666666664,0%-10%,0,1,6,2600,598.5,154.0,1975.3333333333333,1498.6666666666663
10576,0.0,N/A,0,1,0,200,0.0,0.0,153.13333333333333,65.33333333333333
10577,0.0,0%-10%,0,0,0,0,341.0,156.0,125.6,141.33333333333331
10579,0.0,0%-10%,0,0,1,400,80.5,28.0,306.0,132.66666666666666
10580,36.0,10%-15%,1,0,2,900,268.0,48.0,1142.4666666666665,534.0
10583,182.0,10%-15%,0,0,5,2000,1359.0,272.0,2547.4666666666662,1454.0
10588,0.0,N/A,1,0,1,500,0.0,0.0,189.0,214.66666666666663
10589,0.0,0%-10%,0,0,1,400,64.0,35.0,351.5,121.33333333333331
10590,0.0,0%-10%,0,0,1,400,163.0,51.0,346.8666666666666,216.0
10591,64.33333333333333,0%-10%,0,1,2,1000,751.0,345.0,1066.0666666666666,909.3333333333331
10594,0.0,0%-10%,1,0,1,500,10.0,0.0,317.2,239.3333333333333
